Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary,Name-additional
1,Jeff McNeil*,30,NYM,589,370,97,7,90,0.353,0.326,0.239,0.382,0.309,0.454,0.391,0.836,0.699,140,0.704,30.1,3,0.814,0.21,0.128,5.5,479/DH5,mcneije01
2,Freddie Freeman*,32,LAD,708,429,135,8.4,98,0.359,0.325,0.249,0.407,0.321,0.511,0.408,0.918,0.73,152,0.769,47.4,4.7,0.983,0.34,0.186,16.1,*3,freemfr01
3,Paul Goldschmidt,34,STL,651,394,138,9.3,89,0.368,0.317,0.237,0.404,0.307,0.578,0.389,0.981,0.696,180,0.801,62,6.1,1.064,0.414,0.26,11.7,*3D/H,goldspa01
4,Luis Arraez*,25,MIN,603,387,88,6.1,89,0.331,0.316,0.24,0.375,0.307,0.42,0.388,0.795,0.695,130,0.659,23,2.3,0.747,0.196,0.104,5.3,34DH/5,arraelu01
5,Aaron Judge,30,NYY,696,415,171,11,91,0.34,0.311,0.244,0.425,0.311,0.686,0.394,1.111,0.704,211,0.852,87.4,8.7,1.278,0.593,0.375,25.4,*89D/H,judgeaa01
6,Xander Bogaerts,29,BOS,631,409,98,6.4,97,0.362,0.307,0.251,0.377,0.319,0.456,0.406,0.833,0.725,131,0.681,25.4,2.6,0.818,0.262,0.149,10.4,*6/DH,bogaexa01
7,Yordan Alvarez*,25,HOU,561,346,119,9.2,91,0.32,0.306,0.244,0.406,0.311,0.613,0.394,1.019,0.704,187,0.805,56.8,5.7,1.1,0.472,0.306,1.9,D7/H,alvaryo01
8,José Abreu,35,CHW,679,441,101,6.1,93,0.35,0.304,0.246,0.378,0.313,0.446,0.397,0.824,0.71,133,0.663,28.9,2.9,0.783,0.245,0.141,0,*3D,abreujo02
9,Andrew Benintendi*,27,TOT,521,337,73,5.8,92,0.352,0.304,0.245,0.373,0.312,0.399,0.396,0.772,0.709,120,0.639,14,1.4,0.743,0.219,0.095,6.2,*7/HD,beninan01
10,Nathaniel Lowe*,26,TEX,645,426,104,6.5,90,0.363,0.302,0.242,0.358,0.309,0.492,0.392,0.851,0.701,141,0.688,30.6,3.1,0.812,0.272,0.191,3.7,*3/DH,lowena01
11,Jose Altuve,32,HOU,604,384,113,7.8,91,0.315,0.3,0.244,0.387,0.311,0.533,0.394,0.921,0.704,160,0.756,43.8,4.4,0.979,0.391,0.233,21.9,*4/HD,altuvjo01
12,Manny Machado,29,SDP,644,421,113,7.1,86,0.337,0.298,0.234,0.366,0.303,0.531,0.383,0.898,0.687,159,0.713,45.2,4.5,0.907,0.356,0.234,14,*5D/H,machama01
13,Steven Kwan*,24,CLE,638,415,89,5.7,89,0.323,0.298,0.24,0.373,0.307,0.4,0.388,0.772,0.695,124,0.635,19.7,2,0.765,0.236,0.101,9.1,*79/8HD,kwanst01
14,Trea Turner,29,LAD,708,476,109,6.1,98,0.342,0.298,0.249,0.343,0.321,0.466,0.408,0.809,0.73,121,0.65,17.7,1.8,0.806,0.275,0.169,23.6,*6,turnetr01
15,Andrés Giménez*,23,CLE,557,364,89,6.5,89,0.353,0.297,0.24,0.371,0.307,0.466,0.388,0.837,0.695,141,0.689,27.3,2.8,0.863,0.273,0.169,18.4,*46/H,gimenan01
16,Yandy Díaz,30,TBR,558,347,84,6.4,86,0.323,0.296,0.237,0.401,0.303,0.423,0.383,0.824,0.686,143,0.684,31.4,3.2,0.829,0.292,0.127,4.5,53DH,diazya01
17,Rafael Devers*,25,BOS,614,409,101,6.6,97,0.329,0.295,0.251,0.358,0.319,0.521,0.405,0.879,0.725,141,0.692,30.6,3.1,0.857,0.319,0.225,5.4,*5/DH,deverra01
18,Nolan Arenado,31,STL,620,416,104,6.6,89,0.29,0.293,0.237,0.358,0.307,0.533,0.389,0.891,0.696,154,0.685,39.9,4,0.876,0.338,0.241,8.6,*5D/H,arenano01
19,Starling Marte,33,NYM,505,357,70,5.2,90,0.34,0.292,0.239,0.347,0.309,0.468,0.391,0.814,0.699,132,0.583,18.5,1.9,0.77,0.251,0.176,16.9,*9/8HD,martest01
20,Carlos Correa,27,MIN,590,393,88,6,89,0.339,0.291,0.24,0.366,0.307,0.467,0.388,0.834,0.695,140,0.653,28.1,2.9,0.792,0.291,0.176,0,*6/DH,correca01
21,Bo Bichette,24,TOR,697,494,95,5.1,90,0.347,0.29,0.243,0.333,0.309,0.469,0.392,0.802,0.701,127,0.588,22.2,2.3,0.736,0.25,0.179,16.9,*6/DH,bichebo01
22,Alejandro Kirk,23,TOR,541,351,75,5.7,90,0.299,0.285,0.243,0.372,0.309,0.415,0.392,0.786,0.701,126,0.633,18.2,1.9,0.755,0.264,0.13,0,2DH,kirkal01
23,Gio Urshela,30,MIN,551,386,69,4.8,89,0.326,0.285,0.24,0.338,0.307,0.429,0.388,0.767,0.695,121,0.555,13.9,1.4,0.683,0.228,0.144,1.9,*5/DH6,urshegi01
24,Julio Rodríguez,21,SEA,560,381,91,6.4,86,0.345,0.284,0.237,0.345,0.303,0.509,0.383,0.853,0.686,147,0.679,29.7,3,0.876,0.339,0.225,26.4,*8/DH,rodriju01
25,Amed Rosario,26,CLE,670,484,77,4.2,89,0.326,0.283,0.24,0.312,0.307,0.403,0.388,0.715,0.695,106,0.501,2.3,0.2,0.633,0.182,0.121,13.7,*6/D7H,rosaram01
26,Taylor Ward,28,LAA,564,369,88,6.4,92,0.325,0.281,0.245,0.36,0.312,0.473,0.395,0.833,0.707,135,0.679,23.7,2.4,0.832,0.317,0.192,8.2,*9/8H5D7,wardta01
27,Nico Hoerner,25,CHC,517,361,65,4.8,93,0.3,0.281,0.243,0.327,0.314,0.41,0.398,0.736,0.712,107,0.544,3.4,0.3,0.699,0.225,0.129,13.3,*6/H5D,hoernni01
28,José Ramírez#,29,CLE,685,454,114,6.7,89,0.279,0.28,0.24,0.355,0.307,0.514,0.388,0.869,0.695,148,0.699,39.5,4,0.908,0.371,0.235,23.7,*5D,ramirjo01
29,Alex Verdugo*,26,BOS,644,450,77,4.6,97,0.309,0.28,0.251,0.328,0.319,0.405,0.406,0.732,0.725,102,0.534,2.3,0.2,0.644,0.192,0.125,1.8,*79/DH,verdual01
30,Alec Bohm,25,PHI,631,453,70,4.1,93,0.319,0.28,0.243,0.315,0.314,0.398,0.398,0.713,0.712,100,0.474,-0.3,0,0.609,0.169,0.118,3.5,*53/DH,bohmal01
31,Justin Turner,37,LAD,532,359,73,5.4,98,0.313,0.278,0.249,0.35,0.321,0.438,0.408,0.788,0.73,116,0.599,12.4,1.2,0.752,0.274,0.16,4.9,5D/H,turneju01
32,Dansby Swanson,28,ATL,696,486,94,5.1,95,0.348,0.277,0.245,0.329,0.316,0.447,0.402,0.776,0.718,115,0.577,12.1,1.2,0.739,0.264,0.17,20.9,*6,swansda01
