last_name, first_name,player_id,year,woba,xwobacon,
Wisdom, Patrick,621550,2023,.326,.523,
Noda, Ryan,676116,2023,.378,.459,
Suwinski, Jack,669261,2023,.372,.502,
Outman, James,681546,2023,.340,.404,
Judge, Aaron,592450,2023,.441,.680,
Henderson, Gunnar,683002,2023,.350,.457,
Marsh, Brandon,669016,2023,.341,.398,
Buxton, Byron,621439,2023,.334,.390,
Casas, Triston,671213,2023,.305,.401,
Suzuki, Seiya,673548,2023,.356,.402,
Grisham, Trent,663757,2023,.303,.423,
Langeliers, Shea,669127,2023,.298,.369,
Wiemer Jr., Joey,686894,2023,.304,.374,
Raleigh, Cal,663728,2023,.300,.414,
Rooker Jr., Brent,667670,2023,.371,.472,
Conforto, Michael,624424,2023,.340,.394,
Gorman, Nolan,669357,2023,.366,.502,
Grossman, Robbie,543257,2023,.308,.329,
Greene, Riley,682985,2023,.352,.464,
Muncy, Max,571970,2023,.340,.454,
Martinez, J.D.,502110,2023,.381,.550,
Contreras, William,661388,2023,.333,.395,
Kim, Ha-Seong,673490,2023,.319,.339,
Murphy, Sean,669221,2023,.397,.493,
Tellez, Rowdy,642133,2023,.317,.372,
Kelenic, Jarred,672284,2023,.350,.485,
Adames, Willy,642715,2023,.296,.392,
Canha, Mark,592192,2023,.320,.331,
Melendez Jr., MJ,669004,2023,.289,.419,
Alvarez, Yordan,670541,2023,.411,.507,
Davis, J.D.,605204,2023,.365,.468,
Rosario, Eddie,592696,2023,.300,.383,
Volpe, Anthony,683011,2023,.267,.397,
Anderson, Brian,605119,2023,.317,.397,
Machado, Manny,592518,2023,.295,.330,
McCutchen, Andrew,457705,2023,.354,.383,
LeMahieu, DJ,518934,2023,.296,.389,
Schwarber, Kyle,656941,2023,.329,.453,
Wade Jr., LaMonte,664774,2023,.384,.398,
Bryant, Kris,592178,2023,.323,.371,
Tatis Jr., Fernando,665487,2023,.361,.446,
Correa, Carlos,621043,2023,.309,.389,
Mullins II, Cedric,656775,2023,.362,.335,
Abrams, CJ,682928,2023,.283,.335,
Vargas, Miguel,678246,2023,.326,.356,
McMahon, Ryan,641857,2023,.352,.483,
Paredes, Isaac,670623,2023,.356,.299,
Tovar, Ezequiel,678662,2023,.300,.372,
Bell, Josh,605137,2023,.313,.385,
Realmuto, J.T.,592663,2023,.326,.391,
Suarez, Eugenio,553993,2023,.292,.410,
Happ, Ian,664023,2023,.344,.388,
Olson, Matt,621566,2023,.364,.477,
Drury, Brandon,592273,2023,.328,.414,
Contreras, Willson,575929,2023,.288,.403,
Diaz, Elias,553869,2023,.348,.357,
Hays, Austin,669720,2023,.355,.432,
Stephenson, Tyler,663886,2023,.310,.390,
Call, Alex,669743,2023,.280,.304,
Hernandez, Teoscar,606192,2023,.313,.492,
Robert Jr., Luis,673357,2023,.356,.450,
Soler, Jorge,624585,2023,.381,.482,
Trout, Mike,545361,2023,.359,.494,
Segura, Jean,516416,2023,.227,.303,
Estrada, Thairo,642731,2023,.359,.377,
Straw, Myles,664702,2023,.280,.307,
Santana, Carlos,467793,2023,.304,.307,
Donovan, Brendan,680977,2023,.324,.356,
Soto, Juan,665742,2023,.378,.433,
Heim, Jonah,641680,2023,.338,.402,
De La Cruz, Bryan,650559,2023,.345,.433,
Bohm, Alec,664761,2023,.314,.370,
Arozarena, Randy,668227,2023,.392,.452,
Yelich, Christian,592885,2023,.333,.437,
Hernandez, Enrique,571771,2023,.289,.295,
Cronenworth, Jake,630105,2023,.311,.346,
Santander, Anthony,623993,2023,.345,.373,
Naylor, Josh,647304,2023,.332,.419,
Crawford, J.P.,641487,2023,.323,.351,
Marte, Starling,516782,2023,.292,.367,
Diaz, Yandy,650490,2023,.406,.434,
Chapman, Matt,656305,2023,.355,.472,
Gurriel Jr., Lourdes,666971,2023,.381,.383,
Rizzo, Anthony,519203,2023,.345,.390,
Carroll, Corbin,682998,2023,.418,.401,
Ward, Taylor,621493,2023,.309,.371,
Alonso, Pete,624413,2023,.370,.468,
Bogaerts, Xander,593428,2023,.328,.339,
Urshela, Gio,570482,2023,.311,.322,
Garcia, Adolis,666969,2023,.352,.450,
Jung, Josh,673962,2023,.361,.470,
Thomas, Lane,657041,2023,.342,.381,
Torkelson, Spencer,679529,2023,.303,.395,
Edman, Tommy,669242,2023,.301,.337,
Ruiz, Keibert,660688,2023,.303,.364,
Merrifield, Whit,593160,2023,.331,.322,
Rosario, Amed,642708,2023,.272,.352,
Swanson, Dansby,621020,2023,.330,.437,
Dubon, Mauricio,643289,2023,.317,.329,
Blackmon, Charlie,453568,2023,.337,.337,
Rodriguez, Julio,677594,2023,.323,.446,
Candelario, Jeimer,600869,2023,.335,.351,
Mountcastle, Ryan,663624,2023,.292,.447,
Frazier, Adam,624428,2023,.304,.317,
Perez, Salvador,521692,2023,.345,.431,
Abreu, Jose,547989,2023,.252,.322,
Gimenez, Andres,665926,2023,.295,.304,
Pena, Jeremy,665161,2023,.318,.359,
Baez, Javier,595879,2023,.258,.324,
Renfroe, Hunter,592669,2023,.313,.367,
Smith, Dominic,642086,2023,.299,.311,
Nimmo, Brandon,607043,2023,.349,.394,
Reynolds, Bryan,668804,2023,.354,.444,
Riley, Austin,663586,2023,.335,.423,
Vaughn, Andrew,683734,2023,.331,.375,
Profar, Jurickson,595777,2023,.318,.350,
Walker, Christian,572233,2023,.332,.365,
Varsho, Daulton,662139,2023,.301,.358,
